	Unnamed: 0.1	Unnamed: 0	filename	source_lang	source_gender	target_lang	target_gender	cross_gender	mapping	gt_phonemization	gt_text	gt_asr_text	synth_asr_text	cer_gt	cer_synth	acc_gt	acc_synth	CER_perf_synth	MOS_gt	MOS_synth	MOS_percentage_perf	MOS_perf	dataset_aspf_v1	dataset_aspf_v2	sent_aspf	cer_relative_to_nomap	MOS_relative_to_nomap	distance_1	same_family_1	same_family_2	same_family_3	cer_increase_from_gt	distance_2
0	0	0	common_voice_bg_25257162.wav	en	F	bg	M	True	feature	{o ɡ n j a n o v z a b e ɫ e ʒ i t e x n i t e i z m ɤ r ʃ a v e ɫ i i x ɫ ɤ t n a ɫ i ɫ i ts a sil}	огнянов забележи техните измършавели и хлътнали лица.	Огнянов забележи техните измършавели и хлътнали лица	Огнянов забележи техните измършавели хлътнали лица	0.0	0.0384615398943424	1.0	0.9615384601056576	-0.0384615398943424	2.7937021	2.726409	-0.0240874286488885	-0.0672931000000001	0.2192194227258813	0.3565108230796284	0.3253993249213279	-0.0384615398943424	0.1059393000000001	16	True	True	False	0.0384615398943424	13.2
1	1	1	common_voice_bg_25048766.wav	en	F	bg	M	True	feature	{p e tʃ a t n i ts a t a i ɫ i k ɤ ʃ tʃ a t a m u s e p r e o b ɤ r n a ɫ i n a a r s e n a ɫ sil ɡ d e t o i m a ɫ o n j a k o ɫ k o t o tʃ i ɫ a i b r u s o v e sil}	печатницата или къщата му се преобърнали на арсенал, гдето имало няколко точила и брусове.	печатницата или къщата му се е преобърнал и на Арсенал където имало няколко точила и брусове	печатницата или къщата му се преобърнали на Сина където имало няколкото че има и брусове	0.0568181835114955	0.125	0.9431818164885044	0.875	-0.0722891549609676	2.780138	2.7160945	-0.0230360866978545	-0.0640434999999999	0.2192194227258813	0.3565108230796284	0.3653532642157852	-0.0681818164885044	0.2748705	16	True	True	False	0.0681818164885044	13.2
2	2	2	common_voice_bg_25127224.wav	en	F	bg	M	True	feature	{v s i tʃ k i t e m o m tʃ e t a o t b o t j o v a t a tʃ e t a sil k o i t o n e p a d n a x a sil v ɫ j a z o x a v r ɤ ts e sil}	всичките момчета от ботйовата чета, които не паднаха, влязоха в ръце.	всичките момчета от Ботевата чета които не паднаха влязоха в ръце	всичките момчета от Ботевата чета които не паднаха влязоха в ръце	0.0303030312061309	0.0303030312061309	0.969696968793869	0.969696968793869	0.0	2.7250152	3.109921	0.1412490469777929	0.3849057999999998	0.2192194227258813	0.3565108230796284	0.3640638651561906	0.060606062412262	-0.2308164000000001	16	True	True	False	0.0	13.2
3	3	3	common_voice_bg_27395440.wav	en	F	bg	M	True	feature	{m e n e m e s i ɫ n o i n t e r e s u v a ʃ e v ɤ p r o s a sil ʃ tʃ o p i ʃ e t o j sil}	мене ме силно интересуваше въпроса: що пише той.	мене ме силно интересуваше въпроса що пише Той	мене ме силно интересуваше въпроса що пише Той	0.0	0.0	1.0	1.0	0.0	2.9509425	3.1528325	0.0684154299855046	0.2018900000000001	0.2192194227258813	0.3565108230796284	0.3472167300230249	0.0	-0.1510148	16	True	True	False	0.0	13.2
4	4	4	common_voice_bg_26456418.wav	en	F	bg	M	True	feature	{ɡ r a d s k o t o m u o b ɫ e k ɫ o o ʃ tʃ e p o v e tʃ e u s i ɫ v a ʃ e t a j a v e r o j a t n o s t sil}	градското му облекло още повече усилваше тая вероятност.	градското му облекло още повече усилваше тая вероятност	градското мол blacklore още повече усилваше тая вероятност	0.0	0.2000000029802322	1.0	0.7999999970197678	-0.2000000029802322	2.9760542	2.8401937	-0.0456512183145052	-0.1358605000000001	0.2192194227258813	0.3565108230796284	0.3666365902132965	-0.0727272778749466	-0.2209881999999998	16	True	True	False	0.2000000029802322	13.2
5	5	5	common_voice_bg_25095829.wav	en	F	bg	M	True	feature	{o s m a n k a z a t i j a d u m i p r o s t o sil o t s ɤ r ts e sil}	осман каза тия думи просто, от сърце.	Осман каза тия думи просто от сърце	Осман каза тия думи просто от сърце	0.0	0.0	1.0	1.0	0.0	2.78296	3.1604023	0.1356262037542759	0.3774422999999998	0.2192194227258813	0.3565108230796284	0.3447496626200034	0.0	-0.2758083	16	True	True	False	0.0	13.2
6	6	6	common_voice_bg_25078556.wav	en	F	bg	M	True	feature	{n o k ɤ m t a j a k r e p o s t b a v n o sil n o s i ɡ u r n o p ɤ ɫ z j a t k o ɫ o n i t e n a p e x o t a t a sil}	но към тая крепост бавно, но сигурно пълзят колоните на пехотата.	но към тая крепост бавно но сигурно пълзят колоните на пехотата	но към тая крепост бавно но сигурно пълзят колоните на пехотата	0.0	0.0	1.0	1.0	0.0	2.7376184	3.1683903	0.1573527924856144	0.4307718999999999	0.2192194227258813	0.3565108230796284	0.353375674956617	0.0634920671582222	-0.2766332999999998	16	True	True	False	0.0	13.2
7	7	7	common_voice_bg_25048832.wav	en	F	bg	M	True	feature	{p ɤ r v o t o r u m e ɫ i j s k o o b ɫ a s t n o s ɤ b r a n i e p o ʒ e ɫ a d a m u o t p u s n e z a b ɫ a ɡ o d a r n o s t p o ʒ i z n e n a p e n s i j a sil}	първото румелийско областно събрание пожела да му отпусне за благодарност пожизнена пенсия.	първото румелийска областно събрание пожела да му отпусне за благодарност пожизнена пенсия	работа romanesc областно събрание пожела да му отпусне за благодарност пожизнена пенсия	0.0111111113801598	0.1666666716337204	0.98888888861984	0.8333333283662796	-0.1573033755801062	2.8851056	3.4484568	0.1952618995990995	0.5633512	0.2192194227258813	0.3565108230796284	0.3629940913356545	-0.1666666716337204	-0.4245363000000002	16	True	True	False	0.1555555602535606	13.2
8	8	8	common_voice_bg_25105345.wav	en	F	bg	M	True	feature	{t e ʒ k o i ɡ o r k o n a m o e t o p ɤ t u v a n i e sil}	тежко и горко на моето пътувание!	тежко и горко на моето пътувание	тежко и горко на моето пътуване	0.0	0.03125	1.0	0.96875	-0.03125	3.4062715	3.0758657	-0.0969992556377258	-0.3304057999999998	0.2192194227258813	0.3565108230796284	0.3298417409312156	-0.03125	0.0192605000000001	16	True	True	False	0.03125	13.2
9	9	9	common_voice_bg_25176397.wav	en	F	bg	M	True	feature	{b u ɫ k a sil o s t a v i m o t i k a t a i p o tʃ i n i s i sil}	булка, остави мотиката и почини си!	булка остави мотиката и почини си	булка остави мотиката и почини си	0.0	0.0	1.0	1.0	0.0	3.1707463	2.9790845	-0.0604469048816677	-0.1916617999999998	0.2192194227258813	0.3565108230796284	0.3936942147343631	0.0303030312061309	0.1781958999999999	16	True	True	False	0.0	13.2
10	10	10	common_voice_bg_25360056.wav	en	F	bg	M	True	feature	{t u k a ʃ n o t o p r a v i t e ɫ s t v o ʃ tʃ e d a ɡ ɫ e d a n a v s i tʃ k o p r e z p r ɤ s t i sil}	тукашното правителство ще да гледа на всичко през пръсти.	тукашното правителство ще да гледа на всичко през пръсти	тукашното правителсто ще да гледа на всичко през пръсти	0.0	0.0178571436554193	1.0	0.9821428563445808	-0.0178571436554193	3.105742	3.4441261	0.1089543497173946	0.3383841000000003	0.2192194227258813	0.3565108230796284	0.3603562231082492	-0.0178571436554193	0.0300488999999997	16	True	True	False	0.0178571436554193	13.2
11	11	11	common_voice_bg_25544822.wav	en	F	bg	M	True	feature	{d o b r o u t r o sil tʃ i tʃ o sil k a k v o ʒ e ɫ a e t e sil}	- добро утро, чичо, какво желаете?	Добро утро чичо Какво желаете	Добро утро чичо Какво желаете	0.0	0.0	1.0	1.0	0.0	2.9248734	2.9526825	0.0095077961323042	0.0278090999999998	0.2192194227258813	0.3565108230796284	0.3191534882029805	0.0	-0.2481812999999997	16	True	True	False	0.0	13.2
12	12	12	common_voice_bg_25155114.wav	en	F	bg	M	True	feature	{i t o j p a k ɫ e t i n a p r e d k ɤ m ɡ ɤ s t i t e r e d i ts i n a k o n e t e sil}	и той пак лети напред към гъстите редицина конете.	и той пак лети напред към гъстите редици на конете	и той пак лети напред към гъстите редици на конете	0.0204081628471612	0.0204081628471612	0.9795918371528388	0.9795918371528388	0.0	3.0845895	3.178711	0.0305134605431289	0.0941214999999999	0.2192194227258813	0.3565108230796284	0.3516055057871607	0.0204081628471613	-0.2145801	16	True	True	False	0.0	13.2
13	13	13	common_voice_bg_25209781.wav	en	F	bg	M	True	feature	{t o ɡ a z v ɤ ɫ k ɤ t s k a tʃ a i j a x v a ʃ tʃ a z a n o z d r i t e sil}	тогаз вълкът скача и я хващаза ноздрите.	тогаз вълкът скача и я хваща за ноздрите	тогаз вълкът скача я хваща за ноздрите	0.0256410259753465	0.0769230797886848	0.9743589740246534	0.9230769202113152	-0.0526315815633271	3.398396	3.142602	-0.0752690386876632	-0.2557939999999998	0.2192194227258813	0.3565108230796284	0.354320106608766	0.2820512875914574	0.0433529999999997	16	True	True	False	0.0512820538133383	13.2
14	14	14	common_voice_bg_25059953.wav	en	F	bg	M	True	feature	{p o n j a k o ɡ a sil k a t o r a z b e r e ʃ e k a k v o j a p i t a k m e t ɤ t sil o t ɡ o v a r j a ʃ e s e d n a d v e d u m i sil}	понякога, като разбереше какво я пита кметът, отговаряше с една-две думи.	понякога като разбереше Какво е пита Кметът отговаряше с една-две думи	понякога като разбереше какво я питах ми отговаряше с една ви думи	0.0144927538931369	0.1159420311450958	0.985507246106863	0.8840579688549042	-0.1029411784162145	2.8053179	3.0618768	0.0914544836433688	0.2565588999999999	0.2192194227258813	0.3565108230796284	0.3587655044617412	-0.0289855077862739	-0.2557106	16	True	True	False	0.1014492772519589	13.2
15	15	15	common_voice_bg_27395869.wav	en	F	bg	M	True	feature	{i n a i s t i n a sil t j a b e ʃ e ʒ e r t v a n a d ɤ ɫ b o k o o t tʃ a j a n i e sil}	и наистина, тя беше жертва на дълбоко отчаяние.	наистина тя беше жертва на дълбоко отчаяние	и наистина тя беше шефа на дълбоко отчаяние	0.0444444455206394	0.0888888910412788	0.9555555544793606	0.9111111089587212	-0.046511629085611	3.404943	3.2115192	-0.05680676592824	-0.1934237999999997	0.2192194227258813	0.3565108230796284	0.3554267750832721	-0.0888888910412788	-0.1032842	16	True	True	False	0.0444444455206394	13.2
16	16	16	common_voice_bg_25625974.wav	en	F	bg	M	True	feature	{r ɤ k a t a e p r i v i k n a ɫ a b e z t r e p e t d a s e p r o s t i r a sil}	ръката е привикнала без трепет да се простира.	ръката е привикнала без трепет да се простира	ръката е привикнала bs35 да се простя	0.0	0.2888889014720917	1.0	0.7111110985279083	-0.2888889014720917	3.0488896	3.0754719	0.0087186823688205	0.0265823000000002	0.2192194227258813	0.3565108230796284	0.3595251150640384	-0.1555555611848831	-0.2907739	16	True	True	False	0.2888889014720917	13.2
17	17	17	common_voice_bg_25680378.wav	en	F	bg	M	True	feature	{i z a ɡ o ɫ j a m a ʒ a ɫ o s t sil n i k o j n i ʃ tʃ o n e n o s e ʃ e sil}	и за голяма жалост, никой нищо не носеше.	и за голяма жалост никой нищо не носеше	за голяма жалост никой нищо не носеше	0.0	0.0512820519506931	1.0	0.9487179480493068	-0.0512820519506931	3.5071917	3.1209707	-0.1101225804109881	-0.3862209999999999	0.2192194227258813	0.3565108230796284	0.3473803794961378	-0.0512820519506931	-0.2598170999999998	16	True	True	False	0.0512820519506931	13.2
18	18	18	common_voice_bg_25127262.wav	en	F	bg	M	True	feature	{d n e s m o ʒ e d a s e k a ʒ e z a x u d o ʒ n i ts i t e sil tʃ e s a d o b r e p o s t a v e n i sil}	днес може да се каже за художниците, че са добре поставени.	днес може да се каже за художниците че са добре поставени	днес може да се каже за художниците че са добре поставени	0.0	0.0	1.0	1.0	0.0	2.942028	2.9615479	0.0066348450796525	0.0195198999999997	0.2192194227258813	0.3565108230796284	0.3595132379413799	0.0350877195596694	0.0700607000000004	16	True	True	False	0.0	13.2
19	19	19	common_voice_bg_25039227.wav	en	F	bg	M	True	feature	{t o j e t o ɫ k o v a ɫ j u b e z e n sil ʃ tʃ o t o s a m m e p o v e ʒ d a k ɤ m n e j a sil}	той е толкова любезен, щото сам ме повежда към нея.	Той е толкова любезен защото сам ме повежда към нея	кое толкова любезен щото са ме повежда към нея	0.0408163256943225	0.0816326513886451	0.9591836743056774	0.9183673486113548	-0.042553190580384	3.2276945	3.0613623	-0.0515328200980608	-0.1663322000000002	0.2192194227258813	0.3565108230796284	0.3611736672773619	0.0816326513886451	0.0193190000000003	16	True	True	False	0.0408163256943226	13.2
20	20	20	common_voice_bg_25078641.wav	en	F	bg	M	True	feature	{s i n dʒ e o s t a n a s a m o k a r a k o ɫ j u i d r u ʒ i n a t a m u t r i s t a m i n a n a tʃ e r n i k o n e sil}	с индже остана само кара колю и дружината му - тристамина на черни коне.	Sanjay остана само Кара Кольо и дружината му 300 мина на черни коне	Синдел стана Само Кара Кольо и дружината му тристамина на черни коне	0.2173912972211837	0.0869565233588218	0.7826087027788162	0.913043476641178	0.166666653973085	3.2682357	3.1144285	-0.0470612324563984	-0.1538072000000001	0.2192194227258813	0.3565108230796284	0.3470461297515715	0.1449275389313697	0.3092045000000003	16	True	True	False	-0.1304347738623619	13.2
21	21	21	common_voice_bg_27411584.wav	en	F	bg	M	True	feature	{t o j b e ʃ e s b o z j a v i p a n t a ɫ o n i sil n o s ts ɤ r v u ɫ i sil a p r e z k r ɤ s t a o p a s a n s p o j a s sil}	той беше с бозяви панталони, но с цървули, а през кръста опасан с пояс.	той беше с Боби панталони но с цървули апрески РС опасност боя	Той беше събудя ми панталони но с цървули апреска стълба съм споя	0.2352941185235977	0.2794117629528045	0.7647058814764023	0.7205882370471954	-0.0576923043197076	3.2160125	3.3547416	0.0431369902946583	0.1387290999999999	0.2192194227258813	0.3565108230796284	0.3496044375769455	0.0294117629528045	-0.1134896000000003	16	True	True	False	0.0441176444292068	13.2
